epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.375,1.4408,1.26165,1.07874,0.61347,0.57002,0.58518,0.34159,1.25916,0.89085,1.0085,0.0671031,0.000332292,0.000332292
2,403.346,1.23605,0.8376,1.01764,0.78541,0.60321,0.6717,0.41247,1.14327,0.85629,0.99471,0.0340702,0.000632677,0.000632677
3,600.557,1.17395,0.74794,1.00381,0.83575,0.56948,0.66025,0.40048,1.24907,0.8066,1.02882,0.00100423,0.000900061,0.000900061
4,797.485,1.12563,0.69462,0.9909,0.81827,0.67272,0.74691,0.49882,1.00495,0.71483,0.94607,0.0008515,0.0008515,0.0008515
5,994.274,1.08435,0.64868,0.97923,0.81779,0.67259,0.75482,0.51591,1.00798,0.6502,0.95174,0.000802,0.000802,0.000802
6,1191.41,1.06162,0.62187,0.9721,0.83007,0.70688,0.77556,0.53382,0.95172,0.59736,0.93277,0.0007525,0.0007525,0.0007525
7,1388.72,1.03991,0.59968,0.96656,0.78694,0.68115,0.75254,0.49544,1.05861,0.63012,0.9539,0.000703,0.000703,0.000703
8,1585.99,1.01552,0.57931,0.95891,0.87727,0.73905,0.80978,0.56635,0.92072,0.55236,0.92151,0.0006535,0.0006535,0.0006535
9,1783.17,1.00385,0.56109,0.95583,0.83863,0.73649,0.79473,0.56358,0.89573,0.56339,0.91377,0.000604,0.000604,0.000604
10,1980.03,0.99305,0.55268,0.95199,0.87303,0.74849,0.81595,0.57603,0.87715,0.5399,0.91069,0.0005545,0.0005545,0.0005545
11,2180.41,0.98644,0.53902,0.95254,0.86993,0.75638,0.82524,0.58539,0.89105,0.53233,0.91514,0.000505,0.000505,0.000505
12,2376.64,0.97342,0.52082,0.94852,0.88828,0.74539,0.82187,0.58276,0.88997,0.52887,0.91643,0.0004555,0.0004555,0.0004555
13,2572.59,0.95893,0.50801,0.94371,0.87921,0.75167,0.82331,0.5885,0.87796,0.51676,0.91038,0.000406,0.000406,0.000406
14,2767.7,0.94447,0.49593,0.93901,0.86802,0.75964,0.82873,0.58597,0.87375,0.50842,0.91016,0.0003565,0.0003565,0.0003565
15,2963.21,0.93478,0.48606,0.93704,0.87242,0.75082,0.82799,0.59823,0.85224,0.5033,0.9048,0.000307,0.000307,0.000307
16,3158.67,0.92549,0.47355,0.93345,0.87921,0.75987,0.82616,0.5928,0.85986,0.49425,0.90565,0.0002575,0.0002575,0.0002575
17,3355.27,0.91288,0.46424,0.93017,0.89136,0.75156,0.83082,0.60322,0.84462,0.49068,0.90279,0.000208,0.000208,0.000208
18,3550.72,0.90292,0.4548,0.92737,0.90023,0.75141,0.83143,0.60161,0.84367,0.48428,0.90188,0.0001585,0.0001585,0.0001585
19,3746.68,0.89049,0.44446,0.92381,0.8786,0.76004,0.83183,0.60373,0.83885,0.47824,0.8993,0.000109,0.000109,0.000109
20,3942.59,0.88181,0.43543,0.91746,0.87342,0.7644,0.83068,0.60491,0.83783,0.4778,0.89818,5.95e-05,5.95e-05,5.95e-05
