epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,207.162,0.9201,0.92294,0.9147,0.80826,0.8108,0.8394,0.60772,0.7523,0.62268,0.86647,0.0671031,0.000332292,0.000332292
2,407.066,0.82841,0.55592,0.89719,0.83801,0.81216,0.86125,0.63414,0.72568,0.51915,0.86817,0.0340702,0.000632677,0.000632677
3,608.108,0.80858,0.50882,0.89682,0.90735,0.79702,0.87319,0.65308,0.73314,0.54406,0.8698,0.00100423,0.000900061,0.000900061
4,806.587,0.79067,0.4754,0.8936,0.89354,0.83852,0.89901,0.68859,0.68918,0.46367,0.85679,0.0008515,0.0008515,0.0008515
5,1005.04,0.7677,0.4498,0.88876,0.91422,0.82554,0.90244,0.69616,0.68165,0.43586,0.85397,0.000802,0.000802,0.000802
6,1204.55,0.75428,0.43546,0.88512,0.90176,0.84648,0.90024,0.69798,0.66816,0.43475,0.85337,0.0007525,0.0007525,0.0007525
7,1402.16,0.74431,0.42005,0.88247,0.89486,0.85282,0.90564,0.71084,0.66152,0.41883,0.85151,0.000703,0.000703,0.000703
8,1600.45,0.7285,0.40685,0.87773,0.90946,0.80892,0.89983,0.70248,0.65288,0.44019,0.85162,0.0006535,0.0006535,0.0006535
9,1798.5,0.72135,0.39969,0.87784,0.89568,0.84613,0.90403,0.71775,0.64914,0.4125,0.85042,0.000604,0.000604,0.000604
10,1995.64,0.71652,0.39185,0.87605,0.89625,0.86827,0.90935,0.7219,0.63539,0.4059,0.84534,0.0005545,0.0005545,0.0005545
11,2196.7,0.71741,0.38441,0.87654,0.90185,0.84207,0.91165,0.71948,0.64621,0.41788,0.84795,0.000505,0.000505,0.000505
12,2394.31,0.70756,0.37412,0.87189,0.90772,0.82832,0.90803,0.72006,0.64593,0.40181,0.8457,0.0004555,0.0004555,0.0004555
13,2591.93,0.69777,0.36563,0.873,0.90065,0.84316,0.91288,0.72402,0.63514,0.39817,0.84602,0.000406,0.000406,0.000406
14,2789.17,0.69047,0.35694,0.86989,0.92023,0.82688,0.91655,0.72918,0.62444,0.38034,0.84052,0.0003565,0.0003565,0.0003565
15,2986.62,0.68129,0.34768,0.86442,0.88632,0.86151,0.91988,0.73626,0.62209,0.38074,0.84233,0.000307,0.000307,0.000307
16,3183.94,0.67229,0.33992,0.86528,0.88869,0.84433,0.91284,0.72821,0.62062,0.3841,0.84088,0.0002575,0.0002575,0.0002575
17,3380.07,0.66608,0.33342,0.86361,0.90472,0.84438,0.91746,0.73722,0.61786,0.37609,0.84233,0.000208,0.000208,0.000208
18,3576.72,0.6557,0.32335,0.85969,0.90875,0.83665,0.91905,0.73966,0.60728,0.36878,0.83902,0.0001585,0.0001585,0.0001585
19,3774.62,0.6489,0.3176,0.85852,0.90798,0.83996,0.91955,0.74362,0.60646,0.37129,0.83816,0.000109,0.000109,0.000109
20,3970.87,0.64294,0.30993,0.85679,0.89248,0.85473,0.92097,0.74505,0.60296,0.36499,0.83647,5.95e-05,5.95e-05,5.95e-05
